userId|username|password|fullName|contactNumber|email|role|active|extra1|extra2|extra3
P001|john|1234|John Tan|0121111111|john@gmail.com|PATIENT|true|MRN001|2002-05-10|No known allergy
P002|ahmad|1234|Ahmad Ali|0122222222|ahmad@gmail.com|PATIENT|true|MRN002|2001-08-20|Penicillin
P003|mary|1234|Mary Wong|0123333333|mary@gmail.com|PATIENT|true|MRN003|2003-02-15|Aspirin
P004|siti|1234|Siti Rahmah|0124444444|siti@gmail.com|PATIENT|true|MRN004|2000-12-01|No known allergy
P005|raj|1234|Raj Kumar|0125555555|raj@gmail.com|PATIENT|true|MRN005|1999-06-20|None
D001|doctor1|1234|Dr Lim Wei|0126666666|doctor@gmail.com|DOCTOR|true|DOC001|General Medicine|Outpatient
D002|doctor2|1234|Dr Tan Mei|0127777777|doctor2@gmail.com|DOCTOR|true|DOC002|Paediatrics|Paediatrics
PH001|pharmacist1|1234|Sarah Lee|0128888888|pharmacist@gmail.com|PHARMACIST|true|PHARM001|Morning|
PH002|pharmacist2|1234|David Wong|0129999999|pharmacist2@gmail.com|PHARMACIST|true|PHARM002|Evening|
A001|admin|admin123|System Admin|0100000000|admin@gmail.com|ADMIN|true|FULL||
P1787813108475|seng|1234|shhh|123456789|seng@gmail.com|PATIENT|true|MRN1787813108479|2006-11-11|
